uniq	filenumber	otanumber	pubdate	genre	title	wordcount	[e|i]njo[y|i]mentt?e?'?s?	settlementt?e?'?s?	astonishmentt?e?'?s?	acknowled[g|ge]mentt?e?'?s?	ama[z|s]ementt?e?'?s?	a[t|tt]one?mentt?e?'?s?	[e|i]ndu[c|s]ementt?e?'?s?	[e|i]ndo[w|we]mentt?e?'?s?	[e|i]ntr[e|i]n[s|c]hmentt?e?'?s?	[e|i]nde[a|e]rmentt?e?'?s?	[e|i]nlarge?mentt?e?'?s?	sta[yt|t]ementt?e?'?s?	[e|i]ncampe?mentt?e?'?s?	[e|i]nfr[e|i]ngementt?e?'?s?	mann?age?mentt?e?'?s?	[e|i]nfeftmentt?e?'?s?	mea[s|ss]urementt?e?'?s?	debasementt?e?'?s?	excitementt?e?'?s?	[e|i]nvestmentt?e?'?s?	ailmentt?e?'?s?	fulfilmentt?e?'?s?	[e|i]ndorsementt?e?'?s?	concernmentt?e?'?s?	[e|i]ntanglementt?e?'?s?	[e|i]nfranchisementt?e?'?s?	embankmentt?e?'?s?	[e|a]str[a|au]ngementt?e?'?s?	defilementt?e?'?s?	[e|i]nh[a|au]n[c|s]ementt?e?'?s?	[e|i]nsta[l|ll]mentt?e?'?s?	[e|i]nroll?mentt?e?'?s?	relea[s|c]ementt?e?'?s?	wondermentt?e?'?s?	condolementt?e?'?s?	withdrawmentt?e?'?s?	consignmentt?e?'?s?	[e|i]ntert[a|e]inmentt?e?'?s?
614	614	3620	1753	academic	The analysis of beauty: Written with a view of fixing the fluctuating ideas of taste. By William Hogarth.	40003	1	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
615	615	3621	1796	letter	"A letter from the Right Honourable Edmund Burke to a noble lord: on the attacks made upon him and his pension, in the House of Lords, by the Duke of Bedford and the Earl of Lauderdale, early in the present sessions of Parliament."	17363	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
616	616	3622	1773	history	"An historical account of all the voyages round the world, performed by English navigators; including those lately undertaken by order of His present Majesty. The whole faithfully extracted from the journals of the voyagers. ... In four volumes.: [pt.1]"	136021	1	20	6	0	1	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
617	617	3623	1773	history	"An historical account of all the voyages round the world, performed by English navigators; including those lately undertaken by order of His present Majesty. The whole faithfully extracted from the journals of the voyagers. ... In four volumes.: [pt.2]"	114229	0	10	7	2	0	0	1	0	0	0	1	0	0	1	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
618	618	3624	1773	history	"An historical account of all the voyages round the world, performed by English navigators; including those lately undertaken by order of His present Majesty. The whole faithfully extracted from the journals of the voyagers. ... In four volumes.: [pt.3]"	114031	0	6	8	2	0	0	1	0	2	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
619	619	3625	1773	history	"An historical account of all the voyages round the world, performed by English navigators; including those lately undertaken by order of His present Majesty. The whole faithfully extracted from the journals of the voyagers. ... In four volumes.: [pt.4]"	113105	0	21	7	0	1	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
620	620	3626	1790	political	Political observations on the Test Act	19112	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
621	621	3627	1786	address	"Speech in the House of Commons, on Tuesday the 7th of March, 1786. By Philip Francis, Esq"	14545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
622	622	3628	1773	poetry	"Youth. A poem: By Hall Hartson, Esq."	3578	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
623	623	3629	1739	academic	A treatise of human nature: being an attempt to introduce the experimental method of reasoning into moral subjects. ... [pt.1]	98921	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
624	624	3630	1739	academic	A treatise of human nature: being an attempt to introduce the experimental method of reasoning into moral subjects. ... [pt.2]	62650	14	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
625	625	3631	1739	academic	A treatise of human nature: being an attempt to introduce the experimental method of reasoning into moral subjects. ... [pt.3]	61248	13	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
626	626	3632	1741	essay	"Essays, moral and political"	32415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
627	627	3633	1777	letter	"An apology for the life and writings of David Hume, Esq: with a parallel between him and the late Lord Chesterfield: to which is added an address to one of the people called Christians. By way of reply to his letter to Adam Smith, L.L.D."	17883	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
628	628	3634	1752	political	Political discourses: By David Hume Esq.	72078	7	6	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
629	629	3635	1751	essay	"An enquiry concerning the principles of morals: By David Hume, Esq;."	51848	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
630	630	3636	1757	academic	"Four dissertations. I. The natural history of religion. II. Of the passions. III. Of tragedy. IV. Of the standard of taste. By David Hume, esq"	43325	7	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
632	632	3638	1781	religious	"Advice addressed to the young clergy of the diocese of Carlisle: in a sermon, preached ... on Sunday, July 29th, 1781. By William Paley, ..."	3300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
633	633	3639	1776	letter	"A poetical epistle from the late Lord Melcombe to the Earl of Bute: with corrections, by the author of the Night thoughts"	3210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
634	634	3640	1779	legal	"A short tract concerning the doctrine of ""Nullum tempus occurrit regi:"": shewing the particular cases to which it is applicable; and that it cannot, according to law, be effectual for the recovery of manors, lands, or tenements, alienated from the crown."	4819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
635	635	3641	1756	letter	"A vindication of natural society: or, a view of the miseries and evils arising to mankind from every species of artificial society. In a letter to Lord **** By a late noble writer."	17108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
636	636	3642	1777	religious	"Caution recommended in the use and application of Scripture language: A sermon preached July 15, 1777, in the cathedral church of Carlisle, at the visitation of the Right Reverend Edmund, Lord Bishop of Carlisle. By William Paley, ..."	2283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
637	637	3643	1774	poetry	Independence: an ode. By the late T. Smollet	1118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
638	638	3644	1795	drama	"New hay at the old market: an occassional drama, in one act: written by George Colman, (the younger, ) on opening the Hay-Market Theatre. On the 9th of June, 1795."	4788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
640	640	3646	1758	misc	A collection of poems and translations: in English and Latin. By Thomas Hull.	6626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
641	641	3647	1796	academic	"The meridian sun of liberty; or, the whole rights of man displayed and most accurately defined, in a lecture read at the Philosophical Society in Newcastle, on the 8th of November, 1775, ... To which is now first prefixed, by way of preface, a most important dialogue between the citizen reader, and the author. By T. Spence"	3210	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
642	642	3648	1795	political	The end of oppression: being a dialogue between an old mechanic and a young one. Concerning the establishment of the rights of man.	2626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
643	643	3649	1712	political	An enquiry into the danger and consequences of a war with the Dutch	9668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
644	644	3650	1798	travel	"Observations on the western parts of England, relative chiefly to picturesque beauty: To which are added, a few remarks on ... the Isle of Wight. By William Gilpin, ..."	67106	1	1	3	1	1	1	0	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
645	645	3651	1751	misc	"The works of Alexander Pope Esq. In nine volumes complete. With his last corrections, additions, and improvements; ... Together with the commentaries and notes of Mr. Warburton: [pt.1]"	50181	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
646	646	3652	1776	misc	"Additions to the works of Alexander Pope: Esq. Together with many original poems and letters, of cotemporary [sic] writers, never before published. In two volumes. ... [pt.1]"	39147	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
647	647	3653	1732	misc	"A miscellany on taste. By Mr. Pope, &amp;c. Viz. I. of taste in architecture. An epistle to the Earl of Burlington. With notes variorum, and a compleat key. II. Of Mr. Pope's taste in divinity, viz. the fall of man, and the first Psalm. Translated for the use of a young lady. III. Of Mr. Pope's taste of Shakespeare. IV. - His satire on Mrs. P-y. V. Mr. Congreve's fine epistle on retirement and taste. Address'd to Lord Cobham"	10474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
648	648	3654	1744	letter	Epistles to several persons	32333	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
649	649	3655	1735	letter	"Letters of Mr. Wycherley &amp; Mr. Pope, from the year 1704 to 1710: [pt.1]"	42139	1	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
650	650	3656	1735	letter	"Letters of Mr. Wycherley &amp; Mr. Pope, from the year 1704 to 1710: [pt.2]"	48990	0	0	0	3	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
651	651	3657	1735	letter	"Letters of Mr. Pope, and several eminent persons, from the year 1705, to 1711: [pt.2]"	48877	0	0	0	3	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
652	652	3658	1735	letter	"Mr. Pope's literary correspondence for thirty years; from 1704 to 1734. Being, a collection of letters, which passed between him and several eminent persons. Volume the first"	92637	1	0	0	7	1	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
653	653	3659	1735	letter	"Mr. Pope's literary correspondence. Volume the second. With letters to, and from, Lord Somers. Lord Harrington.: [pt.2]"	65024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
654	654	3660	1735	letter	"Mr. Pope's literary correspondence. Volume the third. With letters to, and, from the Duke of Shrewsberry, Lord Lansdowne,: [pt.3]"	75515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
655	655	3661	1736	letter	"Mr. Pope's literary correspondence. Volume the fourth. With letters, &amp;c. to, and from, Mr. Addison. Bishop Atterbury. ... To which are added, Muscovian letters: [pt.4]"	107442	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
656	656	3662	1737	letter	Mr. Pope's literary correspondence. Volume the fifth. With letters of Lord Bolingbroke. Lord Lansdowne.: [pt.5]	69516	5	0	1	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
657	657	3663	1751	letter	"A collection of letters, never before printed: written by Alexander Pope, Esq; and other ingenious gentlemen, to the late Aaron Hill, Esq"	25798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
658	658	3664	1769	letter	"Letters of the late Alexander Pope, Esq. To a lady. Never before published"	6079	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
659	659	3665	1736	letter	Bounce to Fop: An heroick epistle from a dog at Twickenham to a dog at court. By Dr. S----t.	671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
660	660	3666	1746	memoir	"The character of Katharine, late Duchess of Buckinghamshire and Normanby: By the late Mr. Pope."	943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
661	661	3667	1718	drama	"A clue to the comedy of the Non-juror: With some hints of consequence relating to that play. In a letter to N. Rowe, Esq; ..."	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
662	662	3668	1717	drama	"The court ballad: By Mr. Pope. To the tune of, To all you ladies now at land, &amp;c."	410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
663	663	3669	1726	poetry	"The discovery: or, the squire turn'd ferret: An excellent new ballad. To the tune of High boys! up go we; Chevy Chase; or what you please."	629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
664	664	3670	1723	drama	Duke upon duke: an excellent new play-house ballad. Set to musick by Mr. Holdecombe.	1072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
665	665	3671	1728	poetry	The Dunciad: An heroic poem. In three books.	7902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
666	666	3672	1735	poetry	"The Dunciad: With notes variorum, and the prolegomena of Scriblerus. Written in the year, 1727."	37522	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
667	667	3673	1719	poetry	Eloisa to Abelard: Written by Mr. Pope.	8098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
668	668	3674	1735	letter	"An epistle from Mr. Pope, to Dr. Arbuthnot"	4161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
669	669	3675	1713	essay	An essay on criticism: Written by Mr. Pope.	6375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
670	670	3676	1734	essay	"An essay on man: being the first book of ethic epistles. To Henry St. John, L. Bolingbroke."	10501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
671	671	3677	1737	letter	The first epistle of the first book of Horace imitated: By Mr. Pope.	2516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
672	672	3678	1737	letter	"The first epistle of the second book of Horace, imitated"	4285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
673	673	3679	1733	satire	"The first satire of the second book of Horace, imitated: in a dialogue between Alexander Pope of Twickenham in Com. Midd. Esq; on the one part, and his learned council on the other."	1905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
674	674	3680	1716	journalistic	"A full and true account of a horrid and barbarous revenge by poison: on the body of Mr. Edmund Curll, bookseller; with a faithful copy of his last will and testament. Publish'd by an eye witness."	1880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
675	675	3681	1716	journalistic	"A further account of the most deplorable condition of Mr. Edmund Curll, bookseller. Since his being poison'd on the 28th of March. To be publish'd weekly"	2407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
676	676	3682	1737	poetry	Horace his ode to Venus. Lib. IV. Ode I. Imitated by Mr. Pope	548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
677	677	3683	1733	satire	The impertinent: or a visit to the court. A satyr. By an eminent hand.	2361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
678	678	3684	1715	academic	"A key to the lock: Or, a treatise proving, beyond all contradiction, the dangerous tendency of a late poem, entituled, The rape of the lock, to government and religion. By Esdras Barnivelt, apoth."	5123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
679	679	3685	1741	memoir	Memoirs of the extraordinary life	27649	1	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
680	680	3686	1766	poetry	"Messiah: a sacred eclogue, in imitation of Virgil's Pollio. By Alexander Pope, Esq;."	2114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
681	681	3687	1735	journalistic	"A narrative of the method by which the private letters of Mr. Pope have been procur'd and publish'd by Edmund Curll, bookseller. NB. The original papers, in Curl's own hand, may be seen at T. Cooper's"	7145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
682	682	3688	1713	poetry	Ode for musick	782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
683	683	3689	1731	letter	An epistle to the Right Honourable Richard Earl of Burlington: Occasion'd by his publishing Palladio's designs of the baths	1510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
684	684	3690	1735	letter	Of the characters of women: an epistle to a lady. By Mr. Pope	1589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
685	685	3691	1734	letter	Of the knowledge and characters of men: An epistle to the Right Honourable Richard Lord Viscount Cobham.	2110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
686	686	3692	1732	letter	Of the use of riches: an epistle to the Right Honorable Allen Lord Bathurst. By Mr. Pope.	3751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
687	687	3693	1738	poetry	One thousand seven hundred and thirty eight. A dialogue something like Horace. By Mr. Pope	1389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
688	688	3694	1738	poetry	One thousand seven hundred and thirty eight. Dialogue II. By Mr. Pope	2281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
689	689	3695	1714	poetry	The rape of the lock: An heroi-comical poem. In five canto's. Written by Mr. Pope.	6276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
690	690	3696	1737	letter	The second epistle of the second book of Horace: imitated by Mr. Pope.	2982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
691	691	3697	1735	satire	The second satire of the second book of Horace praprhased [sic]: By the author of the first.	2316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
692	692	3698	1727	poetry	Poems occasion'd by reading the travels of Captain Lemuel Gulliver	2203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
694	694	3700	1715	academic	The temple of fame: a vision. By Mr. Pope.	4185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
695	695	3701	1716	poetry	"To the ingenious Mr. Moore, author of the celebrated worm-powder. By Mr. Pope"	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
696	696	3702	1738	religious	The universal prayer: By the author of the Essay on man.	334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
697	697	3703	1746	poetry	Verses upon the late D----ss of M----: By Mr. P------.	322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
698	698	3704	1713	letter	Windsor-Forest: To the Right Honourable George Lord Lansdown. By Mr. Pope.	3570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
720	720	3726	1788	academic	"The quip modest: a few words by way of supplement to Remarks, critical and illustrative, on the text and notes of the last edition of Shakspeare; occasioned by a republication of that edition, revised ... by the editor of Dodsleys Old plays."	10072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
721	721	3727	1793	fiction	"Love's victims: the hermit's story. By the author of The prize, No song no supper, &amp;c"	3778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
722	722	3728	1744	essay	"An essay on acting: in which will be consider'd the mimical behaviour of a certain fashionable faulty actor, ... To which will be added, a short criticism on his acting Macbeth."	4318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
723	723	3729	1757	history	An account of the European settlements in America: In six parts. ... In two volumes. ... [pt.1]	71246	1	36	0	3	1	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
724	724	3730	1757	history	An account of the European settlements in America: In six parts. ... In two volumes. ... [pt.2]	67758	0	90	0	1	0	0	0	0	1	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
725	725	3731	1750	religious	"The importance of religious knowledge to the happiness of mankind. A sermon preached before the Society for propagating Christian Knowledge: at their anniversary meeting in the High Church of Edinburgh, on Monday, January 1. 1750. ... By Hugh Blair ... To which is subjoin'd a short account of the present state of the society"	8893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
726	726	3732	1792	academic	Cursory criticisms on the edition of Shakspeare published by Edmond Malone	20123	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
727	727	3733	1774	pamphlet	"Introduction to the school of Shakespeare; held, on Wednesday evenings, in the Apollo, at the Devil Tavern, Temple Bar. To which is added a retort courteous on the criticks, as delivered at the second and third lectures"	6769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
728	728	3734	1786	essay	Macbeth reconsidered; an essay: intended as an answer to part of the Remarks on some of the characters of Shakspeare	6336	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
729	729	3735	1773	academic	Introduction to Shakespeare's plays	11847	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
730	730	3736	1706	poetry	"The vision, a poem: Being an answer to the Lord Beilhaven's speech. By a person of quality."	929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
731	731	3737	1793	poetry	"Burke's address to the ""swinish*"" multitude! Tune ""Derry down, down,"" &amp;c"	587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
