,hapaxes,wordcount,freqpermil
1700,8213,2749239,2987.37214189
1710,12667,4226321,2997.16940573
1720,4999,2360365,2117.89278353
1730,9859,3010329,3275.05731101
1740,7219,4433665,1628.22405391
1750,13248,6159479,2150.83126349
1760,22417,7625507,2939.73895769
1770,38455,10605227,3626.04213941
1780,48829,13599708,3590.44473602
1790,31957,12126617,2635.27742321
overall,197863,66896457,2957.7500644
